"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WESF"
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-14",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-15",,,"0.28","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-16",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-18",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-19",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-20",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-21",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-22",,,"0.02","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-23",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-27",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-28",,,"0.24","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-29",,,"0.07","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-09-30",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-02",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-03",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-04",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-05",,,"0.19","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-07",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-08",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-09",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-10",,,"1.47","2.0","2.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-11",,,"0.67","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-12",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-13",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-14",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-15",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-16",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-17",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-18",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-19",,,"0.02","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-21",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-22",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-23",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-24",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-25",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-26",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-27",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-28",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-29",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-30",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-10-31",,,"0.04","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-01",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-02",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-03",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-04",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-05",,,"0.07","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-06",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-07",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-14",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-15",,,"0.34","3.0","3.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-16",,,"0.00","0.0","1.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-17",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-20",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-21",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-22",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-23",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-24",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-25",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-26",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-27",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-28",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-29",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-11-30",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-01",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-02",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-03",,,"0.34","3.5","3.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-04",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-05",,,"0.00","0.0","1.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-06",,,"0.00","0.0","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-07",,,"0.13","2.1","3.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-08",,,"0.00","0.0","2.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-09",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-10",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-11",,,"0.00","0.0","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-12",,,"0.00","0.0","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-13",,,"0.00","0.0","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-14",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-15",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-16",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-17",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-18",,,"0.01","0.4","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-19",,,"0.00","0.0","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-20",,,"0.00","0.0","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-21",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-22",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-23",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-24",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-25",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-26",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-27",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-28",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-29",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-30",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2005-12-31",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-01",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-02",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-03",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-04",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-05",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-06",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-07",,,"0.00","0.0",,,,,"0.0",
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-08",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-09",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-10",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-11",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-12",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-13",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-14",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-15",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-16",,,"0.01","0.5","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-17",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-18",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-19",,,"0.03","0.8","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-20",,,"0.51","5.0","5.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-21",,,"0.00","0.0","4.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-22",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-23",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-24",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-25",,,"0.00","0.0","1.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-26",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-27",,,"0.00","0.0","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-28",,,"0.00","0.0","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-29",,,"0.00","0.0","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-30",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-01-31",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-01",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-02",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-03",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-04",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-05",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-06",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-07",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-08",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-09",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-10",,,"0.20","3.0","3.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-11",,,"0.00","0.0","2.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-12",,,"0.00","0.0","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-13",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-14",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-15",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-16",,,"0.05","1.5","1.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-17",,,"0.01","0.0","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-18",,,"0.01","0.0","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-21",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-22",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-23",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-24",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-25",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-26",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-27",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-02-28",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-01",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-02",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-03",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-04",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-05",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-06",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-07",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-08",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-09",,,"0.30","1.6","1.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-10",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-11",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-12",,,"0.03","0.5","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-13",,,"0.16","2.2","3.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-14",,,"0.00","0.0","0.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-15",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-16",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-17",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-18",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-19",,,"0.15","0.9","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-20",,,"0.30","2.6","3.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-21",,,"0.13","1.8","3.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-22",,,"0.01","0.1","1.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-23",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-24",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-25",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-26",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-27",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-28",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-29",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-30",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-03-31",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-02",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-03",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-04",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-05",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-06",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-07",,,"0.01","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-08",,,"0.35","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-09",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-10",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-11",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-12",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-13",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-14",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-15",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-16",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-17",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-18",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-19",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-20",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-21",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-22",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-23",,,"0.00","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-24",,,"0.21","0.0",,,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-25",,,"0.19","1.5","1.5",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-26",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-27",,,"0.00","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-28",,,"0.10","0.0","0.0",,,,,
"US1CODN0030","DENVER 8 SSW, CO US","39.6318","-105.0463","1680.1","2006-04-29",,,"0.16","0.0","0.0",,,,,
